"","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"result.1",158374671,600780,20240,2665,8139,0,0
"result.2",100147861,180187,1800,540,1738,0,0
"result.3",116900714,236953,2732,779,2145,0,0
"result.4",114399224,30672,1805,300,395,0,0
"result.5",114008926,563705,8264,2160,1774,0,0
"result.6",127795906,458813,5093,2084,3219,0,0
"result.7",180982124,445751,3790,660,5986,0,0
"result.8",120762196,254946,2959,1829,2315,0,0
"result.9",117317884,412709,4011,1873,3958,0,0
"result.10",272824561,277259,6408,264,3987,0,0
"result.11",113766038,140298,1181,152,3003,0,0
"result.12",120570964,101497,663,335,1420,0,0
"result.13",146045723,354344,5783,385,4135,0,0
"result.14",175372863,625543,15476,359,4327,0,0
"result.15",120282354,452506,2562,3207,2937,0,7
"result.16",146795148,243902,1273,152,3086,0,0
"result.17",159650350,534144,13780,560,7862,0,0
"result.18",273026584,47335,19243,217,653,0,0
"result.19",147162736,277053,6669,2446,2749,0,0
"result.20",127909584,386571,5661,2097,11132,0,0
"result.21",157063074,598303,13761,516,2543,0,0
"result.22",127797441,538169,20168,405,3685,1,0
"result.23",180601025,76120,4520,543,814,0,0
"result.24",173206592,322304,4426,1545,3491,0,0
"result.25",272830456,241602,35498,3523,2254,0,0
"result.26",127255962,455254,8369,1695,2893,0,0
"result.27",126843200,5628,1309,5,168,0,0
"result.28",113504763,12490,1786,38,704,0,0
"result.29",147212977,349819,14712,902,1564,0,0
"result.30",147353537,67840,3438,1571,708,0,0
"result.31",175106053,474004,11868,1613,7740,0,0
"result.32",127710392,372156,5839,1360,4169,0,0
"result.33",273025872,197701,5524,338,3063,0,0
"result.34",114046440,676855,3704,576,8001,0,0
"result.35",175374275,933984,36110,2050,6745,0,0
"result.36",158373181,580540,5318,1319,3924,0,0
"result.37",112372418,260916,3884,322,3730,0,0
"result.38",146470726,354386,1986,3387,5896,0,0
"result.39",175018829,779441,17381,2750,7929,0,0
"result.40",174788109,306678,7052,672,3475,0,0
"result.41",174583187,715101,5646,2281,6358,0,0
"result.42",127991964,734199,10569,2057,10957,8,0
"result.43",174583904,551108,1961,911,11368,0,0
"result.44",147354242,487372,13514,773,5957,0,0
"result.45",158737454,421798,11106,502,5105,0,0
"result.46",112425523,264484,1796,358,2478,0,0
"result.47",146078721,441398,13422,834,3961,0,0
"result.48",126523791,285004,2558,74,3708,2,0
"result.49",158915602,173725,5215,331,1739,2,0
"result.50",113846682,489714,2016,742,3927,10,0
"result.51",147789031,328772,3067,183,3152,0,0
"result.52",119846129,332578,7339,407,3889,0,0
"result.53",158838128,526349,5547,972,9479,0,0
"result.54",147633885,480423,8527,725,11488,5,0
"result.55",125437216,89840,1693,60,5907,6,0
"result.56",175264587,56549,16222,1568,1791,0,0
"result.57",152995635,38047,11858,253,450,0,0
"result.58",112789899,59099,2933,321,566,9,0
"result.59",123663689,323883,7152,647,12044,0,0
"result.60",121145750,14743,1854,9,373,0,0
"result.61",175265301,420456,10244,1631,15065,0,6
"result.62",156872043,297846,4014,894,3064,0,79
"result.63",143515102,64795,1026,905,922,0,0
