"","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"result.1",584903636,253545,2398,7,2147,0,0
"result.2",585025284,152495,199,18,1006,0,0
"result.3",585026021,81115,2499,203,1448,30,0
"result.4",585051446,88891,1759,139,1129,17,0
"result.5",626107114,45802,977,481,1208,4,0
"result.6",638314843,22946,319,102,710,0,0
"result.7",640081415,169194,662,195,845,0,0
"result.8",640282128,61360,293,9,1693,0,0
"result.9",640285199,15706,188,1,124,0,0
"result.10",642967852,217293,676,315,915,0,0
