"","X","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"118","result.118",272737914,333816,26041,1142,2550,0,0
"119","result.119",112229103,211156,1784,2258,399,0,0
"120","result.120",112424813,109330,3188,550,374,0,0
"121","result.121",272916915,188167,19364,1519,1099,0,0
"122","result.122",100140949,383695,6373,1477,1805,6,0
"123","result.123",100148142,376107,4643,1511,1179,0,0
"124","result.124",112595376,249817,5685,1631,1027,0,0
"125","result.125",180403712,115292,1493,88,582,0,0
"126","result.126",180435652,1721249,16378,6916,9085,6,0
"127","result.127",100141222,63520,2081,158,2895,0,0
"128","result.128",272918345,34851,7038,1726,810,0,0
"129","result.129",120812686,128514,4984,108,3194,0,0
"130","result.130",113443572,283946,13632,428,1533,0,0
"131","result.131",121509711,385693,4651,227,2278,0,0
"132","result.132",114755099,425073,7335,143,2555,31,0
"133","result.133",133286030,450728,13417,542,2504,0,0
"134","result.134",141601779,16247,3161,569,433,0,0
"135","result.135",112597496,285753,8068,344,1220,0,0
"136","result.136",112307046,366411,10443,190,1410,0,0
"137","result.137",122641078,438897,13298,798,3179,185,0
"138","result.138",127907465,399320,10658,183,2730,2,0
"139","result.139",131068390,324121,7204,234,2505,45,0
"140","result.140",146857301,432385,20398,1498,2177,0,0
"141","result.141",146984209,400773,9272,254,2049,0,0
"142","result.142",157654069,274540,8650,267,942,0,0
"143","result.143",114249084,190915,3791,664,2160,262,0
"144","result.144",125802444,293546,6325,1972,3978,0,0
"145","result.145",129573239,460834,9340,2663,4065,101,8
"146","result.146",277480964,59571,1625,297,526,0,0
"147","result.147",126653015,299290,4532,504,2127,113,0
"148","result.148",120436274,90872,2924,95,988,0,0
"149","result.149",120494729,36283,9399,1397,191,0,0
"150","result.150",122641784,142724,2404,753,809,0,0
"151","result.151",112308468,166725,8612,1499,1282,0,22
"152","result.152",112745073,134079,1182,1144,614,0,0
"153","result.153",113935285,176662,2016,2008,3168,0,0
"154","result.154",114429338,170542,1733,2078,2029,0,0
"155","result.155",127649005,205362,9517,3660,5638,0,0
"156","result.156",180523704,37576,1620,93,292,0,0
"157","result.157",272404772,191318,53359,2559,2013,0,0
"158","result.158",100141214,151551,6590,2544,1568,0,0
"159","result.159",100148143,107225,1142,281,1294,0,0
"160","result.160",112167395,67428,2619,112,443,0,0
